[ERROR] - 2016-12-22 15:44:06,284 - CefSharp.WinForms.Example.Program.Main - program is start
[INFO ] - 2016-12-22 15:49:00,804 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.step_copy_data - data copy completed
[ERROR] - 2016-12-22 15:49:00,924 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.step_get_nickname - 值不能为 null。
参数名: value
[ERROR] - 2016-12-22 16:04:18,654 - CefSharp.WinForms.Example.Program.Main - program is start
[INFO ] - 2016-12-22 16:07:43,453 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.step_copy_data - data copy completed
[ERROR] - 2016-12-22 16:43:45,478 - CefSharp.WinForms.Example.Program.Main - program is start
[INFO ] - 2016-12-22 16:45:34,855 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.step_copy_data - data copy completed
[ERROR] - 2016-12-22 17:57:38,485 - CefSharp.WinForms.Example.Program.Main - program is start
[INFO ] - 2016-12-22 17:58:45,309 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.step_copy_data - data copy completed
[ERROR] - 2016-12-22 18:07:47,759 - CefSharp.WinForms.Example.Program.Main - program is start
[INFO ] - 2016-12-22 18:08:51,064 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.step_copy_data - data copy completed
[ERROR] - 2016-12-22 18:11:09,586 - CefSharp.WinForms.Example.Program.Main - program is start
[INFO ] - 2016-12-22 18:12:05,757 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.step_copy_data - data copy completed
[ERROR] - 2016-12-22 18:14:38,803 - CefSharp.WinForms.Example.Program.Main - program is start
[INFO ] - 2016-12-22 18:15:18,396 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.step_copy_data - data copy completed
[ERROR] - 2016-12-22 18:24:16,978 - CefSharp.WinForms.Example.Program.Main - program is start
[INFO ] - 2016-12-22 18:25:46,536 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.step_copy_data - data copy completed
[ERROR] - 2016-12-22 20:18:36,689 - CefSharp.WinForms.Example.Program.Main - program is start
